epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,4483.04,0.98214,0.79233,1.10887,0.84439,0.77458,0.83191,0.57119,1.21169,0.8753,1.1577,0.001882,0.001882,0.001882
84,4537.15,0.9786,0.79025,1.10874,0.85265,0.76364,0.83349,0.57306,1.20764,0.87073,1.15471,0.001783,0.001783,0.001783
85,4591.29,0.97693,0.79828,1.10692,0.84205,0.77367,0.83133,0.56931,1.20845,0.87831,1.15381,0.001684,0.001684,0.001684
86,4645.68,0.96941,0.78411,1.10528,0.83577,0.78561,0.83202,0.57408,1.20337,0.88112,1.14847,0.001585,0.001585,0.001585
87,4699.79,0.96323,0.78216,1.10457,0.84916,0.7841,0.83017,0.57161,1.20357,0.87246,1.15057,0.001486,0.001486,0.001486
88,4754.08,0.9655,0.78059,1.10001,0.83386,0.79637,0.83838,0.57317,1.20261,0.86633,1.15291,0.001387,0.001387,0.001387
89,4808.29,0.96831,0.77969,1.1026,0.85512,0.78175,0.84212,0.57578,1.20262,0.85695,1.1542,0.001288,0.001288,0.001288
90,4862.75,0.96356,0.77649,1.10168,0.84038,0.79384,0.8395,0.57556,1.2035,0.85548,1.15451,0.001189,0.001189,0.001189
91,4917.26,0.916,0.60546,1.09037,0.85054,0.77054,0.83529,0.57003,1.20661,0.86267,1.15377,0.00109,0.00109,0.00109
92,4970.97,0.90303,0.58646,1.09048,0.83419,0.77768,0.82591,0.5674,1.19939,0.86358,1.15175,0.000991,0.000991,0.000991
93,5024.56,0.88922,0.57103,1.07989,0.83633,0.77651,0.82687,0.56606,1.19604,0.8651,1.14754,0.000892,0.000892,0.000892
94,5078.22,0.88697,0.57174,1.07707,0.84274,0.77979,0.82727,0.56981,1.19458,0.86813,1.15184,0.000793,0.000793,0.000793
95,5131.7,0.87284,0.56117,1.06786,0.84959,0.78264,0.83102,0.57077,1.19522,0.86472,1.15463,0.000694,0.000694,0.000694
96,5185.21,0.86611,0.55177,1.0654,0.838,0.78394,0.82839,0.56892,1.19342,0.86511,1.15768,0.000595,0.000595,0.000595
97,5238.94,0.85715,0.5479,1.06035,0.83966,0.78248,0.8285,0.57148,1.19346,0.86711,1.15975,0.000496,0.000496,0.000496
98,5292.46,0.8561,0.54274,1.06137,0.84274,0.78885,0.83158,0.57028,1.19614,0.87089,1.16326,0.000397,0.000397,0.000397
99,5346.05,0.84484,0.53677,1.05596,0.84481,0.7838,0.83133,0.57002,1.19336,0.87049,1.16102,0.000298,0.000298,0.000298
100,5400.62,0.84005,0.53467,1.05546,0.84565,0.78526,0.83153,0.56957,1.19269,0.87291,1.16092,0.000199,0.000199,0.000199
